name,id
"Chris Justus, Meteorologist",394164827347547
Chris Kane TV,296520353763517
Chris Koeberl,129526643837272
Chris Larson WBTV,124256944342906
Chris Lawrence NBC4,675506625870770
Chris Legeros,750426961674626
Chris May,59787571858
Chris McGinness,128555410494718
Chris Mulcahy,245243255564425
Chris Murphy TV,528550383897246
Chris Powell,187306911863
Chris Stipes Journalist,261567780581027
Chris Van Vliet,146098278806574
Chris Warren,216213441545
Christi Brooks,170274303169832
Christi Paul,111363069470
Christina Loren,209721752381473
Christina Palladino WISN 12 News,285168971526514
Christina Park,937369116313122
Christina Pascucci,333354813439875
Christina Salvo,808290355918144
Christine Jones,644670568877133
Christine Pitawanich/KGW,160692310666926
Christine Romans,111418082214705
Christopher Heath WFTV,612100738810307
Christopher Sign ABC 15,168372999850740
Chuck Bell,202161103134917
Chuck Goudie ABC7 ITeam,362551520502243
Cindy Hsu TV,1092505977448153
CJ Nitkowski,22964387029
Claire Kellett KMOV,168457636499199
Clarice Tinsley,211204418905713
Clay Hall,367239509953930
Clay Miller NBC2,189986894385210
Clayton Morris,313600113199
Clothes Encounters,181227178573738
Coach LaMonte,131383613601741
Coco Dominguez,630188523705419
Cody Alcorn,279638533192
Coleen Harry WBTV,451178521572119
Coleen Sullivan,261236960742749
Congressional Black Caucus,67183426065
Congressman Darrell E. Issa,131352838109
Congressman Jason Chaffetz,390419731073316
Congressman Trent Franks,209486545087
"Connie Colla, Realtor, TV Host",147536615279669
Contessa Brewer,58095132547
Cooking With The Carrs,185354841796295
Corey McPherrin Fox 32 Chicago,576370459051394
Cortney Hall,754467741314327
Cortney Hicks Fan Page,140357132660653
Cory Marshall,119314614790209
Cory McCloskey FOX 10,179749398814337
Councilmember Michael Stinziano,132147116833292
Courtney Fischer,113953068704123
Courtney Gilmore NBC5,124339694246676
Courtney Robinson,200469926674190
Courtney Yuen,483813578495744
Courtny Gerrish,231133724406
Coyote Peterson,121964901212526
Craig Lucie,195597784904
Craig Melvin,1430063890555064
Craig Setzer Meteorologist,146331668770396
Craig Stevens,308305295878903
Craig Treadway,131879450236240
Craig Wall Fox 32 Chicago,166063300234763
Crystal Egger,152813984736352
Curt Sandoval,357595377739458
Cynné Simpson,102779989807842
Cynthia Newsome,115140261953732
Dahna Chandler—A Strategic Content Writer with a Journalism Background,245485185483102
Dallas Raines,269293243254435
Damali Keith FOX 26,223009664453434
Dan Harris,209311282465185
Dan Hellie,179122125464926
Dan Lewis News,184022024942952
Dan Pearlman,387246168097589
Dan Ponce,1376308412659180
Dan Tilkin KOIN,106625356158121
Dana Jay FOX 35,318916264917137
Dane Placko Fox 32 Chicago,309804795818961
Danella Sealock,198072116896932
Dani Stewart,208348899185009
Daniel Gotera KHOU,234308296589919
Daniel Graves WDSU,618279638241645
Daniella Guzman,264020140346999
Danielle Banks,188123847901726
Danielle Breezy,192240947507771
Danielle Elias,121762414532586
Danielle Koleniak NBC2,348779308535503
Danielle Lerner,300039506733526
Danner Evans - WSET,196789273715433
Danny Romero,402183316628362
Darby Douglas KHOU,1445778259006444
Dari Alexander,154054154640126
Darla Miles,214840671869210
