name,id,category,url,include?,Twitter page,stats,stats_type
Amy Freeze,295144330515368,News Personality,http://facebook.com/295144330515368,Y,https://www.facebook.com/amyfreeze.wabc/,,
Amy Hawley,212412265585818,Journalist,http://facebook.com/212412265585818,Y,https://twitter.com/amy__hawley,,
Amy Hollyfield,195556077139684,News Personality,http://facebook.com/195556077139684,Y,https://twitter.com/amyhollyfield,,
Amy Lutz,399399333452851,Journalist,http://facebook.com/399399333452851,Y,https://twitter.com/AmyFox43,,
Amy Powell,1465896676990850,Journalist,http://facebook.com/1465896676990850,Y,https://www.facebook.com/ABC7Amy/,,
Amy Robach,575794959185480,Journalist,http://facebook.com/575794959185480,Y,https://www.facebook.com/amy.robach.3/,,
Amy Schumer,178803142475,Comedian,http://facebook.com/178803142475,N,,,
Amy Sweezey,521296377997360,Public Figure,http://facebook.com/521296377997360,Y,https://twitter.com/amysweezey,,
Ana Belaval,122167384485168,Public Figure,http://facebook.com/122167384485168,Y,https://twitter.com/anabelaval,,
Ana Cabrera,484176918261401,News Personality,http://facebook.com/484176918261401,Y,https://twitter.com/AnaCabrera,,
Ana Ivanovic,126966253985560,Athlete,http://facebook.com/126966253985560,N,,,
Anchor Eric Weisfeld,154463907926286,Public Figure,http://facebook.com/154463907926286,Y,https://twitter.com/ericweisfeld,,
Andre Agassi,201866934318,Public Figure,http://facebook.com/201866934318,Y,https://twitter.com/AndreAgassi,,
Andre Hepkins WBAL,133013750111054,Journalist,http://facebook.com/133013750111054,Y,https://twitter.com/andrehepkins,,
Andrea Cambern,262075275847,Journalist,http://facebook.com/262075275847,Y,https://twitter.com/AndreaCambern,,
Andrea Grymes,560968277260495,Journalist,http://facebook.com/560968277260495,Y,https://twitter.com/AndreaGrymesTV,,
Andrea Hlavackova,315727141794587,Athlete,http://facebook.com/315727141794587,N,,,
Andrea Isom,191645190857452,News Personality,http://facebook.com/191645190857452,Y,https://twitter.com/ISOMTV,,
Andrea Robinson FOX 10,148117881896213,News Personality,http://facebook.com/148117881896213,Y,https://twitter.com/andreafox10,,
Andrea Tantaros,659455690742322,News Personality,http://facebook.com/659455690742322,Y,https://twitter.com/AndreaTantaros,,
Andrew Buck Michael,387943957898080,News Personality,http://facebook.com/387943957898080,Y,https://twitter.com/AndrewWSYX6,,
Andrew Christian,61925383150,Public Figure,http://facebook.com/61925383150,N,,,
Andrew Freiden NBC12,172716696103329,Public Figure,http://facebook.com/172716696103329,Y,https://twitter.com/AndrewNBC12,,
Andrew Freund,192840367395219,Public Figure,http://facebook.com/192840367395219,Y,https://twitter.com/andrewfreund,,
Andrew Harrison WJTV,1393887777511112,News Personality,http://facebook.com/1393887777511112,Y,https://twitter.com/AndrewWJTV,,
Andrew Horansky WKYC,371200709582047,Journalist,http://facebook.com/371200709582047,Y,https://twitter.com/WKYCAndrewH,,
Andrew Humphrey,288427285122,Public Figure,http://facebook.com/288427285122,Y,https://twitter.com/AndrewLocal4,,
Andrew J. Ginther,1571532933060198,Public Figure,http://facebook.com/1571532933060198,Y,https://twitter.com/andrewginther,,
Andrew Whitman,365608923514918,News Personality,http://facebook.com/365608923514918,Y,https://twitter.com/WhitmanAndrew,,
Andrew Zimmern,179877846431,Public Figure,http://facebook.com/179877846431,N,,,
Andy Carson,228027930544529,News Personality,http://facebook.com/228027930544529,N,,,
Andy Murray,16814976965,Athlete,http://facebook.com/16814976965,N,,,
Angela Bassett,155621291157791,Actor,http://facebook.com/155621291157791,N,,,
Angela Brauer,152957138101359,Journalist,http://facebook.com/152957138101359,Y,https://twitter.com/AngelaKOAT,,
Angela Chen,1486738384948630,Journalist,http://facebook.com/1486738384948630,Y,https://twitter.com/AngelaChenFOX26,,
Angela Davis Motivational Coach,1409663249284592,Coach,http://facebook.com/1409663249284592,Y,https://twitter.com/AngelaDavisWCCO,,
Angela Ganote,144055746963,Public Figure,http://facebook.com/144055746963,Y,https://twitter.com/angelaganote,,
Angela Kocherga Border Reporter,253063001473717,Journalist,http://facebook.com/253063001473717,Y,https://twitter.com/AKochergaBorder,,
Angelica Thornton KATU,223649964433340,Journalist,http://facebook.com/223649964433340,Y,https://twitter.com/AngelicaKATU,,
Angelique Kerber,112796148797854,Athlete,http://facebook.com/112796148797854,N,,,
Angie Martinez,147547972867,Public Figure,http://facebook.com/147547972867,Y,https://twitter.com/angiemartinez,,
Anita Padilla Fox 32 Chicago,266988400111227,Journalist,http://facebook.com/266988400111227,Y,https://twitter.com/AnitaPadilla32,,
Anita Roman Fox 10,200935240049808,Journalist,http://facebook.com/200935240049808,Y,https://twitter.com/ANITAROMANFOX10,,
Anjelah Johnson,242122133568,Public Figure,http://facebook.com/242122133568,Y,https://twitter.com/anjelahjohnson,,
Ann Marie LaFlamme,440653956021225,News Personality,http://facebook.com/440653956021225,Y,https://twitter.com/AnnMarieLaFlamm,,
Ann Voskamp,324577877554393,Author,http://facebook.com/324577877554393,Y,https://twitter.com/AnnVoskamp,,
Anna Canzano,135287959882469,Journalist,http://facebook.com/135287959882469,Y,https://twitter.com/Anna_Canzano,,
Anna Kournikova,79521255968,Athlete,http://facebook.com/79521255968,N,,,
Anna Laurel WTVD,322595574508052,News Personality,http://facebook.com/322595574508052,Y,https://twitter.com/ALaurelABC11,,
Anna Saccone,144056540730,Public Figure,http://facebook.com/144056540730,Y,https://twitter.com/AnnaSaccone,,
Anna-Lysa Gayle,232020850271150,Journalist,http://facebook.com/232020850271150,Y,https://twitter.com/ABC7Annalysa,,
Anne Elise Parks,453400931460733,News Personality,http://facebook.com/453400931460733,Y,https://twitter.com/anneeliseparks,,
Anne Hathaway,1620123334882451,Actor,http://facebook.com/1620123334882451,N,,,
Anne Imanuel,157825207562830,News Personality,http://facebook.com/157825207562830,Y,https://twitter.com/AnneImanuel,,
Anne McNamara,234858603218534,Journalist,http://facebook.com/234858603218534,Y,https://twitter.com/AnneMcNamara,,
Anne-Marie Green,69882979131,Public Figure,http://facebook.com/69882979131,Y,https://twitter.com/AMGreenCBS,,
Annie Sabo,399338763591190,News Personality,http://facebook.com/399338763591190,Y,https://twitter.com/annie_sabo,,
Anquan Boldin,163834243647585,Athlete,http://facebook.com/163834243647585,N,,,
Anthony Davis,119045328124234,Athlete,http://facebook.com/119045328124234,N,,,
Anthony DiLorenzo,112868912100807,Journalist,http://facebook.com/112868912100807,Y,https://twitter.com/ADiLorenzoTV,,
Anthony Flores ABC7,802452449766760,Journalist,http://facebook.com/802452449766760,Y,https://twitter.com/AnthonyABC7,,
Anthony Ponce,129934403731816,Journalist,http://facebook.com/129934403731816,Y,https://twitter.com/anthonyponceTV,,
Anthony Yanez,100221636690410,News Personality,http://facebook.com/100221636690410,Y,https://twitter.com/AnthonyNBCLA,,
Antoinette Antonio,180596941962804,Journalist,http://facebook.com/180596941962804,Y,https://twitter.com/antoinetteA,,
Antwan Lewis Fox 5 News,511994192179178,News Personality,http://facebook.com/511994192179178,Y,https://twitter.com/AntwanLewisTV,,
Apolo Anton Ohno,105299067674,Athlete,http://facebook.com/105299067674,N,,,
April Dovorany,413354972023138,News Personality,http://facebook.com/413354972023138,Y,https://twitter.com/aprildovorany,,
April Simpson TV,172154742797979,News Personality,http://facebook.com/172154742797979,Y,https://twitter.com/foxonfox,,
Araksya Karapetyan,102700043196979,Journalist,http://facebook.com/102700043196979,Y,https://twitter.com/Araksya,,
Arden's Book Club,159680381060376,Blogger,http://facebook.com/159680381060376,N,,,
Ari Shapiro,197797253591509,Journalist,http://facebook.com/197797253591509,Y,https://twitter.com/arishapiro,,
Arian Foster,201925469848483,Athlete,http://facebook.com/201925469848483,N,,,
Arianna Huffington,17893008278,Public Figure,http://facebook.com/17893008278,Y,https://twitter.com/ariannahuff,,
Ariel Plasencia WITN,1470904299889047,Journalist,http://facebook.com/1470904299889047,Y,https://twitter.com/Ariel_Plasencia,,
Armando Montelongo,59330303988,Public Figure,http://facebook.com/59330303988,Y,https://twitter.com/montelongo,,
Arnold Schwarzenegger,9269711759,Public Figure,http://facebook.com/9269711759,N,,,
Art Rascon,102095653211961,Journalist,http://facebook.com/102095653211961,Y,https://twitter.com/ArtRasconABC13,,
Ashlee Baracy,181583985220718,News Personality,http://facebook.com/181583985220718,Y,https://twitter.com/AshleeBaracy,,
Ashleigh Banfield,134954519756,Journalist,http://facebook.com/134954519756,Y,https://twitter.com/TVAshleigh,,
Ashleigh Barry,142000745833350,News Personality,http://facebook.com/142000745833350,Y,https://twitter.com/AshleighNBC5,,
Ashleigh Walters,298437363634951,Journalist,http://facebook.com/298437363634951,Y,https://twitter.com/AshleighWalters,,
Ashley Batey Meteorologist,170356746364745,News Personality,http://facebook.com/170356746364745,Y,https://twitter.com/AshleyBatey,,
Ashley Blackstone ABC News 4,181319875258463,News Personality,http://facebook.com/181319875258463,Y,https://twitter.com/ashblackstone,,
Ashley Dougherty WTAE,330351720432012,News Personality,http://facebook.com/330351720432012,Y,https://twitter.com/AshleyD_WTAE,,
