name	id	category  url
Nikki Krize WNEP	164085777029196	Journalist	http://facebook.com/164085777029196
ABC13-Deborah Wrigley	180835305266016	Journalist	http://facebook.com/180835305266016
Sherry Williams KHOU	239596186067767	News Personality	http://facebook.com/239596186067767
Elita Loresca	413158342202274	Journalist	http://facebook.com/413158342202274
KPRC2 Rachel McNeill	120333531319816	Public Figure	http://facebook.com/120333531319816
Jordan Wilkerson - Live 5 News	471057539690446	News Personality	http://facebook.com/471057539690446
Meteorologist Mario Gomez	232299553458465	News Personality	http://facebook.com/232299553458465
Ron Trevino KHOU	129476933802532	News Personality	http://facebook.com/129476933802532
Kristen Luehrs - WTVR CBS 6	295208500611206	News Personality	http://facebook.com/295208500611206
Samantha Roberts	166033330093253	News Personality	http://facebook.com/166033330093253
Kaitlyn McGrath NBC Connecticut	244857309022570	News Personality	http://facebook.com/244857309022570
KPRC2 Amy Davis	119073521455653	Public Figure	http://facebook.com/119073521455653
Jackie De Tore	422405921131734	Journalist	http://facebook.com/422405921131734
Andrew Freiden NBC12	172716696103329	Public Figure	http://facebook.com/172716696103329
Lisa Weismann Live 5	369754846426097	News Personality	http://facebook.com/369754846426097
Robin Murdoch Fox 2	1418642068369269	News Personality	http://facebook.com/1418642068369269
KPRC2 Sofia Ojeda	1610278269190782	Journalist	http://facebook.com/1610278269190782
Melissa Wilson FOX 26	276847902378662	News Personality	http://facebook.com/276847902378662
KPRC2 Anoushah Rasta	1501924336761321	Journalist	http://facebook.com/1501924336761321
Nancy Alvarez, WFTV	206856219343715	News Personality	http://facebook.com/206856219343715
KPRC2 Britta Merwin	1446793882234185	News Personality	http://facebook.com/1446793882234185
Jordan Carver	285388056416	Public Figure	http://facebook.com/285388056416
ABC13-Elissa Rivas	111969115538039	Journalist	http://facebook.com/111969115538039
Art Rascon	102095653211961	Journalist	http://facebook.com/102095653211961
Adrianne Bradshaw Live 5 News	302133243316809	Journalist	http://facebook.com/302133243316809
KPRC2 Jennifer Reyna	118902898131913	Public Figure	http://facebook.com/118902898131913
